iter	Passed	Remaining
0	3	3971
1	9	4516
2	14	4720
3	21	5434
4	26	5227
5	32	5375
6	36	5222
7	40	5066
8	46	5066
9	50	4994
10	54	4939
11	59	4893
12	65	4979
13	69	4915
14	73	4853
15	78	4809
16	82	4755
17	86	4718
18	90	4661
19	96	4734
20	100	4695
21	104	4649
22	109	4651
23	112	4578
24	116	4545
25	120	4511
26	125	4513
27	128	4461
28	131	4399
29	135	4374
30	140	4386
31	144	4374
32	150	4399
33	154	4392
34	159	4390
35	163	4375
36	166	4330
37	170	4305
38	174	4304
39	177	4256
40	181	4235
41	185	4222
42	189	4224
43	193	4207
44	196	4171
45	199	4145
46	205	4159
47	208	4144
48	212	4131
49	216	4118
50	221	4116
51	224	4084
52	228	4074
53	232	4064
54	237	4073
55	240	4051
56	244	4046
57	249	4044
58	252	4033
59	257	4031
60	261	4030
61	267	4050
62	270	4028
63	275	4026
64	282	4058
65	286	4057
66	291	4052
67	295	4045
68	299	4037
69	302	4015
70	306	4007
71	310	3997
72	315	4006
73	319	4000
74	323	3990
75	328	3995
76	331	3973
77	335	3965
78	339	3956
79	343	3955
80	347	3937
81	351	3930
82	355	3925
83	360	3930
84	364	3922
85	368	3914
86	372	3905
87	377	3907
88	381	3900
89	384	3891
90	388	3883
91	393	3885
92	396	3865
93	400	3856
94	402	3835
95	407	3836
96	409	3816
97	413	3808
98	417	3802
99	423	3807
100	428	3813
101	432	3807
102	436	3800
103	441	3803
104	445	3799
105	450	3797
106	455	3802
107	459	3797
108	463	3792
109	467	3785
110	473	3788
111	477	3784
112	479	3766
113	483	3760
114	489	3763
115	493	3761
116	496	3749
117	501	3748
118	505	3745
119	510	3740
120	514	3734
121	518	3733
122	522	3728
123	526	3722
124	529	3709
125	537	3728
126	541	3724
127	546	3720
128	552	3729
129	557	3733
130	562	3731
131	568	3737
132	572	3732
133	577	3729
134	582	3732
135	586	3722
136	590	3716
137	594	3712
138	599	3714
139	603	3708
140	607	3698
141	611	3694
142	616	3693
143	620	3687
144	624	3681
145	628	3676
146	632	3670
147	636	3666
148	640	3659
149	646	3661
150	650	3655
151	654	3649
152	658	3646
153	663	3644
154	667	3638
155	671	3632
156	676	3633
157	680	3628
158	684	3623
159	689	3617
160	696	3627
161	700	3621
162	704	3615
163	709	3617
164	713	3608
165	717	3605
166	723	3606
167	727	3602
168	731	3596
169	735	3591
170	740	3590
171	744	3584
172	749	3580
173	753	3577
174	757	3572
175	762	3570
176	766	3565
177	772	3566
178	776	3563
179	781	3558
180	786	3558
181	791	3556
182	795	3551
183	799	3545
184	805	3546
185	809	3543
186	812	3531
187	816	3527
188	820	3520
189	825	3520
190	830	3516
191	834	3511
192	838	3505
193	843	3503
194	847	3500
195	852	3497
196	857	3494
197	860	3487
198	866	3486
199	869	3479
200	872	3466
201	876	3461
202	881	3459
203	885	3455
204	889	3450
205	894	3447
206	898	3443
207	903	3438
208	907	3435
209	913	3435
210	917	3431
211	922	3429
212	927	3427
213	931	3422
214	936	3419
215	940	3413
216	946	3414
217	950	3410
218	956	3411
219	963	3414
220	967	3411
221	973	3410
222	977	3406
223	982	3402
224	987	3401
225	992	3400
226	1000	3407
227	1007	3410
228	1012	3407
229	1016	3403
230	1023	3407
231	1028	3404
232	1032	3399
233	1038	3399
234	1043	3396
235	1047	3392
236	1054	3393
237	1058	3389
238	1063	3385
239	1068	3383
240	1073	3379
241	1077	3374
242	1082	3371
243	1086	3367
244	1091	3362
245	1095	3358
246	1101	3356
247	1104	3350
248	1107	3341
249	1112	3336
250	1117	3335
251	1122	3330
252	1124	3321
253	1131	3322
254	1136	3319
255	1141	3317
256	1145	3312
257	1150	3308
258	1154	3304
259	1158	3297
260	1164	3296
261	1168	3291
262	1172	3286
263	1178	3284
264	1182	3280
265	1186	3275
266	1191	3270
267	1196	3267
268	1200	3262
269	1205	3258
270	1210	3255
271	1214	3250
272	1219	3246
273	1224	3244
274	1229	3241
275	1233	3236
276	1238	3231
277	1243	3229
278	1248	3225
279	1252	3220
280	1257	3217
281	1262	3213
282	1266	3208
283	1270	3203
284	1275	3200
285	1281	3198
286	1285	3193
287	1291	3192
288	1295	3187
289	1299	3182
290	1304	3178
291	1308	3173
292	1313	3168
293	1317	3163
294	1323	3162
295	1327	3157
296	1331	3152
297	1336	3149
298	1341	3144
299	1345	3139
300	1350	3135
301	1354	3131
302	1359	3126
303	1363	3122
304	1369	3119
305	1373	3115
306	1377	3110
307	1383	3108
308	1387	3103
309	1392	3099
310	1396	3094
311	1402	3091
312	1406	3088
313	1411	3083
314	1416	3080
315	1421	3076
316	1424	3068
317	1430	3068
318	1435	3064
319	1440	3061
320	1446	3059
321	1450	3054
322	1455	3050
323	1458	3043
324	1464	3041
325	1469	3038
326	1474	3033
327	1479	3031
328	1484	3028
329	1489	3023
330	1496	3023
331	1501	3020
332	1505	3016
333	1512	3015
334	1517	3013
335	1525	3015
336	1533	3017
337	1537	3012
338	1545	3012
339	1550	3009
340	1555	3005
341	1561	3003
342	1566	3000
343	1574	3002
344	1580	3001
345	1585	2997
346	1590	2992
347	1595	2989
348	1600	2985
349	1606	2983
350	1612	2980
351	1616	2976
352	1622	2973
353	1627	2969
354	1631	2965
355	1638	2964
356	1645	2963
357	1650	2959
358	1655	2955
359	1658	2948
360	1663	2943
361	1668	2941
362	1673	2936
363	1677	2931
364	1683	2928
365	1688	2924
366	1692	2919
367	1697	2914
368	1701	2910
369	1706	2905
370	1710	2900
371	1715	2895
372	1719	2890
373	1724	2885
374	1728	2880
375	1734	2878
376	1741	2878
377	1748	2876
378	1752	2872
379	1757	2867
380	1763	2864
381	1768	2860
382	1772	2856
383	1778	2852
384	1783	2848
385	1787	2843
386	1791	2838
387	1797	2834
388	1801	2829
389	1804	2822
390	1809	2818
391	1813	2813
392	1818	2808
393	1822	2803
394	1828	2801
395	1833	2797
396	1838	2791
397	1843	2788
398	1847	2782
399	1851	2777
400	1856	2773
401	1861	2769
402	1866	2765
403	1874	2764
404	1879	2760
405	1883	2756
406	1886	2748
407	1893	2746
408	1898	2742
409	1902	2737
410	1907	2733
411	1911	2727
412	1915	2722
413	1921	2719
414	1926	2715
415	1930	2710
416	1936	2707
417	1941	2703
418	1945	2698
419	1951	2694
420	1954	2687
421	1958	2682
422	1963	2677
423	1968	2673
424	1972	2668
425	1976	2663
426	1981	2659
427	1986	2654
428	1990	2649
429	1995	2644
430	2002	2643
431	2006	2638
432	2011	2634
433	2017	2630
434	2020	2624
435	2025	2620
436	2031	2617
437	2035	2612
438	2039	2606
439	2044	2602
440	2048	2596
441	2051	2590
442	2056	2585
443	2061	2581
444	2066	2577
445	2070	2572
446	2075	2568
447	2080	2563
448	2085	2558
449	2088	2552
450	2093	2548
451	2098	2543
452	2102	2538
453	2106	2533
454	2111	2529
455	2116	2524
456	2120	2519
457	2126	2516
458	2131	2511
459	2136	2508
460	2142	2505
461	2147	2500
462	2152	2496
463	2158	2493
464	2161	2487
465	2166	2482
466	2171	2478
467	2176	2473
468	2180	2468
469	2184	2463
470	2190	2459
471	2194	2454
472	2198	2449
473	2203	2445
474	2208	2441
475	2212	2436
476	2216	2429
477	2222	2426
478	2226	2421
479	2230	2416
480	2237	2413
481	2241	2409
482	2246	2404
483	2251	2400
484	2255	2395
485	2258	2388
486	2263	2383
487	2271	2383
488	2276	2378
489	2282	2375
490	2285	2369
491	2290	2364
492	2295	2360
493	2301	2356
494	2305	2352
495	2310	2347
496	2315	2343
497	2320	2338
498	2325	2334
499	2331	2331
500	2336	2326
501	2341	2322
502	2346	2318
503	2350	2313
504	2354	2308
505	2360	2304
506	2367	2301
507	2387	2312
508	2406	2321
509	2434	2338
510	2450	2345
511	2455	2340
512	2472	2346
513	2486	2351
514	2499	2354
515	2507	2352
516	2515	2350
517	2522	2347
518	2530	2344
519	2536	2341
520	2542	2337
521	2549	2334
522	2556	2331
523	2563	2328
524	2572	2327
525	2579	2324
526	2589	2323
527	2598	2322
528	2605	2319
529	2611	2315
530	2617	2311
531	2622	2307
532	2628	2303
533	2634	2299
534	2640	2294
535	2645	2290
536	2650	2284
537	2655	2280
538	2660	2275
539	2663	2269
540	2669	2264
541	2674	2260
542	2679	2255
543	2685	2250
544	2689	2245
545	2694	2240
546	2700	2236
547	2705	2231
548	2709	2225
549	2715	2221
550	2720	2217
551	2725	2211
552	2732	2208
553	2739	2205
554	2745	2201
555	2750	2196
556	2755	2191
557	2760	2186
558	2765	2181
559	2770	2176
560	2776	2172
561	2781	2167
562	2786	2163
563	2791	2158
564	2797	2153
565	2800	2147
566	2803	2141
567	2808	2136
568	2814	2131
569	2818	2126
